Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,0.560300,0.560600,0.542000,0.554000,0.554000,3113696
2018-10-03,0.554000,0.578100,0.551800,0.557200,0.557200,3800856
2018-10-04,0.557200,0.590000,0.552800,0.576500,0.576500,3136076
2018-10-05,0.576500,0.581300,0.560000,0.566000,0.566000,1947480
2018-10-06,0.566000,0.578800,0.558000,0.575700,0.575700,1628281
2018-10-07,0.575700,0.610000,0.572500,0.603500,0.603500,5817927
2018-10-08,0.603500,0.608800,0.585000,0.592900,0.592900,4171108
2018-10-09,0.592900,0.596800,0.570000,0.588300,0.588300,3910421
2018-10-10,0.588300,0.588300,0.470700,0.481200,0.481200,16912519
2018-10-11,0.481200,0.512000,0.474600,0.490500,0.490500,3243486
2018-10-12,0.490500,0.510000,0.489200,0.495100,0.495100,1737885
2018-10-13,0.495100,0.509900,0.485900,0.490000,0.490000,1876576
2018-10-14,0.490000,0.560000,0.481700,0.513400,0.513400,11311022
2018-10-15,0.513400,0.519700,0.505100,0.514400,0.514400,1565457
2018-10-16,0.514400,0.531900,0.509400,0.523900,0.523900,2291925
2018-10-17,0.523900,0.536700,0.497500,0.502100,0.502100,3516075
2018-10-18,0.502100,0.506500,0.490400,0.494700,0.494700,1829349
2018-10-19,0.494700,0.513700,0.494700,0.504600,0.504600,2012361
2018-10-20,0.504600,0.514000,0.500500,0.500500,0.500500,1275506
2018-10-21,0.500500,0.508100,0.491500,0.497600,0.497600,1395291
2018-10-22,0.497600,0.507000,0.491400,0.499800,0.499800,1749070
2018-10-23,0.499800,0.506300,0.495800,0.497000,0.497000,1112501
2018-10-24,0.497000,0.504800,0.492200,0.499000,0.499000,1755042
2018-10-25,0.499000,0.503300,0.492700,0.495200,0.495200,1611161
2018-10-26,0.495200,0.496600,0.475500,0.480700,0.480700,1598540
2018-10-27,0.480700,0.483100,0.475100,0.482000,0.482000,1180700
2018-10-29,0.482000,0.483100,0.445000,0.449600,0.449600,3246964
2018-10-30,0.449600,0.462500,0.449200,0.452500,0.452500,1345293
2018-10-31,0.452500,0.473800,0.438100,0.468500,0.468500,2659692
2018-11-01,0.468500,0.481500,0.462500,0.476300,0.476300,1892416
2018-11-02,0.476300,0.493400,0.471500,0.487100,0.487100,3241037
2018-11-03,0.487100,0.487700,0.473400,0.480700,0.480700,1143239
2018-11-04,0.480700,0.515800,0.470000,0.502200,0.502200,4624525
2018-11-05,0.502200,0.510700,0.493900,0.507500,0.507500,1572284
2018-11-06,0.507500,0.522300,0.499100,0.518700,0.518700,3286336
2018-11-07,0.518700,0.525800,0.495400,0.506500,0.506500,3875822
2018-11-08,0.506500,0.511200,0.477000,0.485200,0.485200,4690702
2018-11-09,0.485200,0.504000,0.472500,0.479000,0.479000,3174167
2018-11-10,0.479000,0.500000,0.474500,0.485200,0.485200,2045994
2018-11-11,0.485200,0.488300,0.478100,0.485800,0.485800,900918
2018-11-12,0.485800,0.508700,0.484700,0.499400,0.499400,2758279
2018-11-13,0.499400,0.510000,0.493700,0.500000,0.500000,2937192
2018-11-14,0.500000,0.509500,0.350200,0.440400,0.440400,15027525
2018-11-15,0.440400,0.446000,0.389900,0.427400,0.427400,8229138
2018-11-16,0.427400,0.429900,0.407200,0.415000,0.415000,2061512
2018-11-17,0.415000,0.425000,0.400000,0.412000,0.412000,1616174
2018-11-18,0.412000,0.423200,0.410000,0.412100,0.412100,1471949
2018-11-19,0.412100,0.412100,0.342000,0.355200,0.355200,7547807
2018-11-20,0.355200,0.368200,0.280000,0.304600,0.304600,12276243
2018-11-21,0.304600,0.337400,0.297000,0.332300,0.332300,4629332
2018-11-22,0.332300,0.340000,0.301400,0.304000,0.304000,3169417
2018-11-23,0.304000,0.324900,0.290100,0.320700,0.320700,4218892
2018-11-24,0.320700,0.332600,0.262000,0.282000,0.282000,5008564
2018-11-25,0.282000,0.297600,0.251100,0.290100,0.290100,7354417
2018-11-26,0.290100,0.300500,0.257000,0.275600,0.275600,5690072
2018-11-27,0.275600,0.279800,0.258000,0.273200,0.273200,2967649
2018-11-28,0.273200,0.315000,0.272700,0.301900,0.301900,5395154
2018-11-29,0.301900,0.316200,0.290000,0.308600,0.308600,3920752
2018-11-30,0.308600,0.310300,0.277100,0.287800,0.287800,3540632
2018-12-01,0.287800,0.304900,0.281400,0.300000,0.300000,1993308
2018-12-02,0.300000,0.316400,0.288800,0.293800,0.293800,2411069
2018-12-03,0.293800,0.297200,0.265000,0.272000,0.272000,3017028
2018-12-04,0.272000,0.290700,0.261000,0.277900,0.277900,2215199
2018-12-05,0.277900,0.279300,0.252200,0.256500,0.256500,2202662
2018-12-06,0.256500,0.266300,0.225000,0.230500,0.230500,3351803
2018-12-07,0.230500,0.255600,0.205100,0.235300,0.235300,5196399
2018-12-08,0.235300,0.243800,0.215900,0.227700,0.227700,2191070
2018-12-09,0.227700,0.250700,0.224900,0.238500,0.238500,2145369
